Date,Status
1/14/2018,FALSE
1/23/2018,FALSE
2/7/2018,FALSE
1/13/2018,FALSE
2/15/2018,FALSE
1/29/2018,FALSE
1/3/2018,TRUE
1/10/2018,FALSE
2/3/2018,TRUE
2/25/2018,TRUE
2/15/2018,TRUE
1/4/2018,FALSE
1/1/2018,TRUE
1/17/2018,FALSE
2/9/2018,TRUE
1/15/2018,FALSE
2/17/2018,TRUE
2/9/2018,TRUE
1/6/2018,FALSE
1/7/2018,TRUE
1/13/2018,FALSE
1/4/2018,FALSE
1/27/2018,FALSE
2/20/2018,TRUE
2/13/2018,TRUE
2/14/2018,FALSE
2/22/2018,TRUE
2/15/2018,TRUE
1/13/2018,FALSE
1/9/2018,FALSE
1/30/2018,FALSE
1/4/2018,FALSE
1/30/2018,FALSE
2/15/2018,TRUE
1/23/2018,TRUE
1/16/2018,FALSE
1/23/2018,FALSE
2/21/2018,TRUE
1/20/2018,FALSE
1/29/2018,FALSE
1/3/2018,FALSE
2/11/2018,FALSE
2/5/2018,FALSE
1/2/2018,TRUE
2/4/2018,TRUE
2/21/2018,FALSE
2/12/2018,FALSE
2/23/2018,FALSE
1/27/2018,TRUE
2/2/2018,FALSE
2/13/2018,TRUE
2/2/2018,FALSE
2/6/2018,TRUE
2/12/2018,FALSE
1/14/2018,TRUE
1/14/2018,FALSE
1/19/2018,FALSE
1/28/2018,FALSE
1/1/2018,FALSE
